block,model_id,n_masked,cross_entropy,nll,perplexity,cross_entropy_lower_bound,top1_accuracy,top3_accuracy,top5_accuracy,balanced_accuracy,precision,recall,macro_f1,micro_f1,weighted_f1,mcc,kappa,prediction_entropy,average_confidence
5000,multimolecule/dnabert2,1244,1.8023168024967209,1.8023168024967209,6.063679551273194,1.1011124960638596,0.3617363344051447,0.7872454448017148,1.0,0.32312282333656667,0.3225218340222614,0.32312282333656667,0.32257119466692047,0.3617363344051447,0.36044403457834123,0.11063838905452363,0.11059645584209765,1.3216194757689985,0.07178683847135046
5000,multimolecule/dnabert2 (baseline: uniform),,1.3862943611198908,1.3862943611198908,4.000000000000001,,,0.75,1.0,0.25,0.25,0.25,0.24290900771231466,0.25,0.25709099228768534,0.0,0.0,1.3862943611198906,0.25
5000,multimolecule/dnabert2 (baseline: majority),,inf,inf,inf,,,1.0,1.0,0.25,0.09807073954983923,0.25,0.14087759815242495,0.39228295819935693,0.22105552378901408,0.0,0.0,8.589333004928846e-11,1.0
5000,multimolecule/dnabert2 (baseline: frequency),,1.3278571896228852,1.3278571896228852,3.772950002952671,,,0.8271704180064309,1.0,0.25000000000000006,0.25000000000000006,0.25000000000000006,0.25000000000000006,0.2809950786282193,0.2809950786282194,-6.119653627604678e-05,-6.119653627600918e-05,1.3278571896228852,0.2809950786282193
